delta,std,mean,variable,method,lower,upper,median
-2.515151515151515,0.05660544282466026,0.8349196621552696,order,taylor,0.7398376643590298,0.9289474573744979,0.8378948940815522
-2.515151515151515,0.04403311971075795,0.7127323830216141,order,ipw,0.639917579067304,0.785709975123951,0.7129610079563962
-2.515151515151515,0.0,0.7091892075463907,order,true,0.7091892075463907,0.7091892075463907,
-2.4545454545454546,0.05512773990489002,0.8216486352733406,order,taylor,0.7293059550934522,0.9129566740918541,0.8245415768001825
-2.4545454545454546,0.04347033048641705,0.7086906665621409,order,ipw,0.6369107140552944,0.7805884997300521,0.7089303517706431
-2.4545454545454546,0.0,0.7052642981085417,order,true,0.7052642981085417,0.7052642981085417,
-2.393939393939394,0.05367033903944431,0.8086666236986799,order,taylor,0.7190291401270972,0.897312611244112,0.8114364653002206
-2.393939393939394,0.042887873316902934,0.7045145858010307,order,ipw,0.633940394221496,0.7752961503252751,0.7047061368074149
-2.393939393939394,0.0,0.7015410176603463,order,true,0.7015410176603463,0.7015410176603463,
-2.333333333333333,0.05223324365769614,0.7959736274312871,order,taylor,0.7090049757455656,0.8820152688312722,0.7983884539315239
-2.333333333333333,0.04228581565839757,0.7002057850942672,order,ipw,0.6308923330742927,0.7698348553079544,0.7003468385693812
-2.333333333333333,0.0,0.6971776384350525,order,true,0.6971776384350525,0.6971776384350525,
-2.2727272727272725,0.05081646739356665,0.7835696464711627,order,taylor,0.6992225750844149,0.8670646468533342,0.7856373382573054
-2.2727272727272725,0.041664305089912756,0.6957666045365974,order,ipw,0.6277598269587499,0.7642073974432125,0.6958547725678875
-2.2727272727272725,0.0,0.692176416904994,order,true,0.692176416904994,0.692176416904994,
-2.212121212121212,0.04942003551317457,0.7714546808183061,order,taylor,0.6897087992595259,0.8524607453102983,0.773183118277565
-2.212121212121212,0.04102357455914547,0.6912001218447102,order,ipw,0.6242946420395111,0.7584174633925428,0.691233004212552
-2.212121212121212,0.0,0.6876790918251754,order,true,0.6876790918251754,0.6876790918251754,
-2.1515151515151514,0.04804398652299994,0.7596287304727178,order,taylor,0.6804109531900671,0.8382035642021644,0.7610257939923029
-2.1515151515151514,0.04036394739614887,0.6865101910299626,order,ipw,0.6206804329404503,0.7524696889166045,0.6864853887571749
-2.1515151515151514,0.0,0.6828543264826754,order,true,0.6828543264826754,0.6828543264826754,
-2.090909090909091,0.046688373981950665,0.7480917954343979,order,taylor,0.6713488679769244,0.8242931035289324,0.748945695255703
-2.090909090909091,0.03968584204062043,0.6817014770445742,order,ipw,0.6169760022516884,0.7463696987374303,0.6816166071539658
-2.090909090909091,0.0,0.6781223138077569,order,true,0.6781223138077569,0.6781223138077569,
-2.0303030303030303,0.045353268543754974,0.7368438757033458,order,taylor,0.6625647917968833,0.8107293632906025,0.7371563162805667
-2.0303030303030303,0.038989776433722395,0.6767794855676947,order,ipw,0.6131860783174019,0.7401241400336207,0.676632196951929
-2.0303030303030303,0.0,0.6733145557859391,order,true,0.6733145557859391,0.6733145557859391,
-1.9696969696969697,0.04403876025947055,0.725884971279562,order,taylor,0.6540369121433812,0.7975123434871744,0.7261053623136859
-1.9696969696969697,0.03827637203282659,0.6717505870962422,order,ipw,0.6093161364250229,0.733740708550992,0.6713807144345633
-1.9696969696969697,0.0,0.6683206347747289,order,true,0.6683206347747289,0.6683206347747289,
-1.9090909090909092,0.04274496117360961,0.7152150821630461,order,taylor,0.6457628892907978,0.7846420441186486,0.7153963074713291
-1.9090909090909092,0.0375463574175557,0.6666220345218327,order,ipw,0.6053724189907193,0.7273934106594042,0.6660274506253743
-1.9090909090909092,0.0,0.6635313657772052,order,true,0.6635313657772052,0.6635313657772052,
